iter	Passed	Remaining
0	91	45423
1	128	32053
2	166	27619
3	205	25423
4	243	24110
5	281	23168
6	319	22505
7	358	22020
8	395	21599
9	434	21275
10	473	21042
11	512	20849
12	550	20637
13	589	20465
14	628	20305
15	665	20141
16	704	20018
17	742	19894
18	781	19777
19	820	19685
20	859	19594
21	897	19504
22	937	19442
23	975	19345
24	1014	19280
25	1054	19216
26	1092	19131
27	1129	19044
28	1168	18970
29	1206	18906
30	1244	18828
31	1282	18758
32	1320	18688
33	1360	18645
34	1399	18590
35	1437	18528
36	1478	18497
37	1517	18445
38	1556	18398
39	1595	18343
40	1632	18281
41	1671	18226
42	1710	18174
43	1748	18121
44	1786	18067
45	1824	18010
46	1864	17965
47	1901	17908
48	1940	17857
49	1978	17807
50	2016	17748
51	2055	17705
52	2093	17652
53	2132	17610
54	2170	17561
55	2209	17520
56	2247	17470
57	2286	17422
58	2324	17375
59	2363	17332
60	2402	17291
61	2440	17240
62	2478	17193
63	2517	17153
64	2556	17109
65	2594	17060
66	2633	17019
67	2672	16979
68	2710	16929
69	2748	16884
70	2786	16837
71	2825	16794
72	2864	16752
73	2902	16710
74	2940	16663
75	2979	16620
76	3016	16573
77	3056	16534
78	3095	16494
79	3133	16451
80	3170	16401
81	3209	16361
82	3248	16320
83	3286	16277
84	3324	16233
85	3364	16194
86	3402	16152
87	3441	16113
88	3479	16067
89	3518	16027
90	3557	15991
91	3595	15947
92	3635	15908
93	3673	15864
94	3711	15822
95	3750	15782
96	3789	15742
97	3828	15704
98	3866	15661
99	3904	15616
100	3942	15575
101	3981	15535
102	4020	15497
103	4059	15455
104	4097	15414
105	4135	15371
106	4173	15330
107	4211	15287
108	4249	15244
109	4288	15203
110	4326	15163
111	4366	15125
112	4405	15088
113	4444	15049
114	4482	15005
115	4521	14966
116	4559	14925
117	4598	14886
118	4637	14846
119	4675	14805
120	4714	14765
121	4753	14727
122	4792	14688
123	4829	14645
124	4868	14605
125	4906	14564
126	4944	14521
127	4982	14480
128	5020	14439
129	5059	14400
130	5098	14361
131	5137	14321
132	5176	14284
133	5214	14242
134	5253	14204
135	5291	14162
136	5330	14123
137	5368	14083
138	5406	14041
139	5445	14001
140	5484	13963
141	5523	13925
142	5561	13885
143	5599	13843
144	5638	13804
145	5676	13763
146	5715	13725
147	5754	13687
148	5793	13648
149	5832	13608
150	5870	13569
151	5909	13529
