char_len,token_count_space,avg_token_len,hangul_char_count,english_char_count,digit_char_count,special_char_count,hangul_ratio,english_ratio,digit_ratio,special_ratio,has_hangul,has_english,has_digit,is_kor_eng_mixed,has_question_mark,has_exclamation_mark,has_tilde,has_ellipsis,has_chosung,chosung_count,has_laughter_kk,has_laughter_hh,count_kk,count_hh,has_repeated_char,max_repeated_char_len,repeated_char_count,morph_count,unique_morph_count,pos_type_count,noun_count,noun_ratio,verb_count,verb_ratio,adjective_count,adjective_ratio,adverb_count,adverb_ratio,interjection_count,interjection_ratio,josa_count,josa_ratio,eomi_count,eomi_ratio,is_word_like,is_phrase_like,is_sentence_like,is_question_like,is_exclamation_like,is_command_like,has_abbreviation_pattern,has_initialism_pattern,has_meme_template_pattern,has_quote_like_pattern,syllable_count,avg_syllable_per_token,same_syllable_repeat_count,max_same_syllable_repeat_len,initial_consonant_repeat_score,vowel_repeat_score,final_consonant_ratio,no_final_consonant_ratio,rhythm_score,pronunciation_simplicity_score
14,4,2.75,11,0,0,0,0.7857142857142857,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,4,0.5,0,0.0,0,0.0,0,0.0,0,0.0,4,0.5,0,0.0,0,1,0,0,0,0,0,0,0,0,11,2.75,0,0,0.2,0.4,0.6363636363636364,0.36363636363636365,0.18349645173478663,0.18181818181818182
6,2,2.5,5,0,0,0,0.8333333333333334,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,1,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,5,2.5,1,2,1.0,0.25,0.6,0.4,0.7333333333333334,0.45
8,3,2.0,6,0,0,0,0.75,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0.25,1,0.25,0,0.0,1,0.25,0,0.0,0,0.0,1,0.25,0,1,0,0,0,0,0,0,0,0,6,2.0,0,0,0.2,0.0,0.6666666666666666,0.33333333333333337,0.16,0.3666666666666667
23,7,2.4285714285714284,15,0,2,0,0.6521739130434783,0.0,0.08695652173913043,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,13,13,10,2,0.15384615384615385,2,0.15384615384615385,0,0.0,2,0.15384615384615385,0,0.0,3,0.23076923076923078,2,0.15384615384615385,0,0,1,0,0,0,0,0,0,0,15,2.142857142857143,0,0,0.0,0.0,0.4,0.6,0.06689537484874518,0.3
17,6,2.0,12,0,0,0,0.7058823529411765,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,4,0.4,0,0.0,0,0.0,2,0.2,0,0.0,4,0.4,0,0.0,0,0,1,0,0,0,0,0,0,0,12,2.0,0,0,0.36363636363636365,0.0,0.5,0.5,0.16414193481259126,0.25
8,2,3.5,0,6,0,1,0.0,0.75,0.0,0.125,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1.0,0.06666666666666667,1.0
15,3,4.333333333333333,13,0,0,0,0.8666666666666667,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,1,0.125,2,0.25,0,0.0,1,0.125,0,0.0,1,0.125,3,0.375,0,1,0,0,0,0,0,0,0,0,13,4.333333333333333,0,0,0.0,0.08333333333333333,0.46153846153846156,0.5384615384615384,0.05132128731221945,0.2692307692307692
19,6,2.3333333333333335,14,0,0,0,0.7368421052631579,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,5,6,0.4,0,0.0,0,0.0,0,0.0,0,0.0,3,0.2,3,0.2,0,0,1,0,0,0,0,0,0,0,14,2.3333333333333335,0,0,0.07692307692307693,0.15384615384615385,0.2857142857142857,0.7142857142857143,0.10531801642229682,0.35714285714285715
15,5,2.2,11,0,0,0,0.7333333333333333,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,3,0.375,1,0.125,1,0.125,0,0.0,0,0.0,1,0.125,2,0.25,0,1,0,0,0,0,0,0,0,0,11,2.2,0,0,0.2,0.1,0.36363636363636365,0.6363636363636364,0.15142857142857144,0.3181818181818182
4,1,4.0,4,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,4,4.0,0,0,0.0,0.3333333333333333,0.75,0.25,0.2,0.425
