text,label,observed_months,year,month
힙합보단 사랑 사랑보단 돈,0,5,2026,1
척추 척척추,0,5,2026,1
운동 많이 된다,1,5,2026,1
고작 이런 00에 볼게 뭐가 있다고 쨍그랑,0,5,2026,1
윤정아 윤정아 왜요 쌤 왜요 쌤,1,5,2026,1
But why?,0,5,2026,1
완전히 멘탈이 나가버렸습니다,0,4,2026,2
어디야 넌 어디야 집이야 난 택시야,0,4,2026,2
그대 춤을 추는 나무 같아요,0,4,2026,2
언발란스,1,4,2026,2
쌰갈,1,4,2026,2
원숭이 펀치,0,4,2026,2
설명할 시간이 없어,1,4,2026,2
빨리 타,1,4,2026,2
간바레,0,3,2026,3
붐샤카라카,0,3,2026,3
카와이 다케쟈 다메데스까,0,3,2026,3
귀엽기만 하면 안 되나요,0,2,2026,4
00를 변기에 넣고서 내려,1,2,2026,4
늑구,1,2,2026,4
탱장연,0,2,2026,4
모시모시 키코에떼루?,0,1,2026,5
얼마나 00하고 싶었던 건지 감도 안 옴,0,5,2026,1
영크크,1,5,2026,1
늙크크,1,4,2026,2
할렐야루,0,3,2026,3
오늘 스트레스 많이 받을거야,1,5,2026,1
"대한민국 유행 진짜 훅훅 바뀌는 듯, 두쫀쿠 유행 끝나니까 봄동비빔밥 유행함, 그럼 다음은 무조건 00이겠지",0,3,2026,3
흐에에!,0,5,2026,1
샤갈,1,5,2026,1
낋여왔어요,1,4,2026,2
낉여왔어요,1,4,2026,2
"여러분 저 됐어요, 00 됐어요!",1,2,2026,4
뭔가 행복하지 않았지?,0,2,2026,4
조림인간,1,3,2026,3
을!,1,2,2026,4
앙,1,2,2026,4
"오만가지 소스, 끝!",0,4,2026,2
빅변내,1,3,2026,3
00을(를) 변기에 넣고서 내려,1,1,2026,5
인생은 웍 웍 웍 웍 질,1,2,2026,4
누가 너를 멋없다 말했는데 그게 너의 맘을 괴롭힐 때면 난 연기하지 않아,0,5,2026,1
동 훈 이 일 걸,1,2,2026,4
그대 춤을 추는 나무 같아요,0,4,2026,2
꺼드럭,1,1,2026,5
꼭지 켜줄게,0,3,2026,3
나는 감정없는 싸이코라그런가 이런거보면 미동도안함. 오히려 웃음이나온달까?이정도는 껌이지ㅋ 나는 모자이크없는 고어영상들 수백수천개를 본 싸이코패슨데ㅋㅋ 그런영상을보면서 나는 웃음을 짓지 후훗,0,3,2026,3
쉬었음 청년,1,3,2026,3
아자스,1,4,2026,2
여기까지가 템플릿임,0,2,2026,4
00하는 주파수,0,3,2026,3
괜찮아 딩딩딩딩딩,1,12,2025,1
Chill guy,1,12,2025,1
죠리퐁에서 왜 죠리퐁 냄새가나지,0,12,2025,2
햄부기햄북 햄북스딱스 함부르크햄부가우가 햄비기햄부거 햄부가티 햄부기온앤 온 을 차려오거라,0,12,2025,2
도파민,1,12,2025,2
사람이 죽는다고,0,12,2025,3
나니가스키,1,12,2025,3
트랄랄레로 트랄랄라,0,12,2025,3
"와... 너 정말, **핵심을 찔렀어.**",0,12,2025,3
누가 범인일까?,0,12,2025,4
첩 교체비는 안 아깝고 칩 교체비용은 아깝냐,0,12,2025,5
회장 마누라 교체 비용으로 2조를 쓰면서,0,12,2025,5
테크놀로지아,1,12,2025,5
밤티,1,12,2025,5
00미새,1,8,2025,10
아미새,0,12,2025,6
이건 00 레슨 00하기,1,12,2025,6
쉐이칸샹 쉐이칸샹,0,11,2025,7
이거 AI 광고야.,0,11,2025,7
잔말말고 에어컨 파워냉방으로 틀어,0,10,2025,8
내가 그걸 모를까,0,10,2025,8
왜 안봐 왜 안봐 너 내 카톡 왜 안봐,0,9,2025,9
도티낳음,1,9,2025,9
케케크롱,0,9,2025,9
이리와서.. 오목 한 판.. 두자꾸나..,0,9,2025,9
사실 너도 똑같더라고,0,9,2025,9
멋있어 멋있어 이찬오빠 멋있어,0,9,2025,9
영포티,1,9,2025,9
개웃겨서 원식이 착상함,0,8,2025,10
전부 다 가르쳐줄게,0,8,2025,10
내 골반이 멈추지 않는 탓일까? ㅜ.ㅜ,1,8,2025,10
골반통신,1,8,2025,10
평범한 땅볼 타구 같은데..,0,8,2025,10
사실은 나도 학교에 가 본적 없어,0,7,2025,11
매끈매끈하다 매끈매끈한,1,7,2025,11
오우~ 즉시 반말?,0,7,2025,11
"힙합보단 사랑, 사랑보단 돈",0,6,2025,12
짜잇호~,0,12,2025,1
호잇짜~,0,8,2025,10
그럼 죽어,1,12,2025,3
기적 같은 하루가 널 기다리고 있어.,0,12,2025,5
난 네 심장보다도 가까운 곳에서 널 지켜볼테니까.,0,7,2025,11
사실 나도 00에 가본 적이 없어,0,12,2025,1
"전부, 가르쳐 줄게",0,12,2025,4
나는 이 게임을 해봤어요,0,12,2025,4
둥글게 둥글게,0,12,2025,1
트랄랄레로 트랄랄라,0,12,2025,5
봄바르디로 크로코딜로,0,12,2025,2
퉁 퉁 퉁 퉁 퉁 퉁 퉁 퉁 퉁 사후르,0,12,2025,4
브르르 브르르 파타핌,0,12,2025,5
호텔경제학,0,6,2025,12
테토남,1,12,2025,1
테토녀,1,8,2025,10
에겐남,1,12,2025,6
에겐녀,1,12,2025,6
폭싹 00수다,1,9,2025,9
학씨!,0,12,2025,1
부들부들,0,12,2025,2
오만가지 소스,0,12,2025,5
Chill하군,1,7,2025,11
첩앤칩스,0,12,2025,3
유첩무칩,0,11,2025,7
일첩이조,0,12,2025,3
가나디,1,12,2025,1
그건 절대 안 되는 일이얌,0,12,2025,5
궁전으로 갈 수도 있어,0,12,2025,1
귀하게 자란 내가 이런 걸 봐도 될까?,0,7,2025,11
허거덩거덩스,0,12,2025,3
난가병,0,10,2025,8
머시써 머시써 이찬 오빠 멋있어,0,7,2025,11
보법,1,12,2025,3
사람아니야,0,12,2025,2
아 진짜요,0,12,2025,4
야르,1,10,2025,8
어른들은 몰라요,0,11,2025,7
오늘도 평화로운 린도 린도 린도,0,6,2025,12
캄대남,0,12,2025,6
폭주기니,1,6,2025,12
한국의 오타니,0,12,2025,4
할래말래할래말래 애매하긴해,0,12,2025,3
섹시푸드,1,12,2025,3
힙레,0,7,2025,11
00 선수 진짜 죽습니다,1,10,2025,8
00어게인,1,12,2025,1
어쩔수가없다,0,12,2025,3
부럽지가 않어,0,12,2022,9
해병문학,0,12,2022,2
소울리스좌,0,12,2022,7
눗눗,0,12,2022,4
재즈를 뭐라고 생각하세요?,0,12,2022,3
오붕가,0,12,2022,10
알빠노,1,12,2022,3
중요한 것은 꺾이지 않는 마음,0,12,2022,1
갱갱갱,1,12,2022,9
띠용흥민,0,12,2022,10
알빠임?,0,12,2022,3
오빠 오빠 차 있어?,0,12,2022,2
근데 어쩔건데?,0,12,2022,12
폼 미쳤다,1,12,2022,8
누칼협,1,12,2022,1
누가 칼들고 협박함?,1,12,2022,5
"천천히 해, 누가 칼들고 협박함?",0,12,2022,4
누가 게임하라고 칼들고 협박했냐?,0,12,2022,1
까불인데요?,0,12,2022,6
누가 00야?,0,12,2022,1
맑은 눈의 광인,0,12,2022,5
카메라 꺼!,0,12,2022,1
눈 뜨고 코 베이징,0,12,2022,1
베이징 탈모,0,12,2022,6
블루투스 터치,0,12,2022,4
식사는 잡쉈어?,0,12,2022,8
할렐루야!,0,12,2022,4
"마귀가 들렸네, 마귀가 들렸어!",0,12,2022,2
너 사탄 들렸어?,0,12,2022,10
와쿠와쿠,0,12,2022,10
고래가 알을 낳는 문제,0,12,2022,7
그렇다는 증거 있습니까?,0,12,2022,8
비!상!! 비상!! 비상!!,0,12,2022,12
추멘 폼 미쳤다,0,12,2022,10
멸공좌,0,12,2022,2
따흐흑,1,12,2022,11
악으로 깡으로 버텨라,0,12,2022,8
00할 결심,1,12,2022,3
갸루피스,0,12,2022,6
"야, 형이야.",0,12,2022,12
난 아무렇지 않지 않아,0,12,2022,7
벤버지,0,12,2022,1
손흥민 띠용,0,12,2022,10
한반두,0,12,2022,3
ㄱㅇㅇ,0,12,2022,3
꽈추형,0,12,2022,2
너 개못하잖아,0,12,2022,4
농ㅋㅋ,0,12,2022,8
두창,0,12,2022,2
또 이러신다 밥이나 드세요,0,12,2022,5
몇개고?,0,12,2022,7
백룸,0,12,2022,11
사이버 유격,0,12,2022,3
안아줘요,1,12,2022,11
어떻게 지평좌표계로 고정을 하셨죠?,0,12,2022,2
고트,1,12,2022,2
예쁘잖아,0,12,2022,11
오히려 좋아,1,12,2022,11
와캬퍄헉농ㅋㅋ,0,12,2022,6
울프는 겜알못이다,0,12,2022,11
이게 팀이야?,0,12,2022,12
이제는 더 이상 물러날 곳이 없다,0,12,2022,10
이지두댄스,0,12,2022,1
주변도르,0,12,2022,2
추앙해요,0,12,2022,9
하지만 빨랐죠,0,12,2022,2
화성 갈끄니까,0,12,2022,7
황시,0,12,2022,6
무야호,1,12,2021,12
포브스 선정 00,1,12,2021,11
스윗중남,1,12,2021,3
롤린,0,12,2021,3
시무라 아주머니,0,12,2021,9
멈춰!,0,12,2021,2
머니게임,0,12,2021,10
나락송,0,12,2021,4
아라아라,0,12,2021,8
근데 이제 뭐함?,0,12,2021,9
넥스트 레벨,0,12,2021,7
제로투 댄스,0,12,2021,7
한심좌,0,12,2021,9
똥 밟았네,0,12,2021,7
활벤져스,0,12,2021,7
그런건 없다 게이야,0,12,2021,4
성윤모,1,12,2021,11
라고 할 뻔,1,12,2021,2
설거지론,0,12,2021,7
어쩔티비,1,12,2021,8
정상수,1,12,2021,5
몰?루,1,12,2021,12
북방코끓리바다표범,0,12,2021,12
어느새부터 힙합은 안 멋져,0,12,2021,10
힘숨찐,1,12,2021,6
사실이 아닙니다!,0,12,2021,9
예쁘잖아,0,12,2021,7
너도 오니가 되어라,1,12,2021,9
코리아 화이팅!,0,12,2021,11
00이 웬말인가?,0,12,2021,4
물소,0,12,2021,2
가오가이,0,12,2021,4
"어, 나가",0,12,2021,4
"어, 나락",0,12,2021,12
"아니, 잘 몰라요",0,12,2021,8
저희가 많이 보죠,0,12,2021,10
그만큼 신나시는 거지,1,12,2021,11
밀보드,0,12,2021,4
역주행,1,12,2021,2
빙빙 돌아가는 회전목마처럼,0,12,2021,12
지금 제작진 표정 봐 미쳐,0,12,2021,11
너어어어~,0,12,2021,10
슉 슈슉,1,12,2021,10
믓찌다 믓찌다 우리언니,0,12,2021,6
Hey~,0,12,2021,9
배신하면 죽는다,0,12,2021,1
싫은데~?,0,12,2021,7
명사수,1,12,2021,3
반말 하지마라,1,12,2021,9
보잡째,0,12,2021,11
준비 됐나요? 자~ 그럼 부를게요,0,12,2021,6
간바레 센빠이,0,12,2021,8
근하하하,1,12,2021,9
깻잎 논쟁,0,12,2021,10
내가 없어져볼게,0,12,2021,11
너는나를존중해야한다,0,12,2021,5
대유쾌 마운틴,0,12,2021,12
런,1,12,2021,12
롱노즈,0,12,2021,1
마기꾼,0,12,2021,3
말씀 중에 죄송합니다,0,12,2021,3
무야홍,0,12,2021,1
무지성,1,12,2021,1
문크 예거,1,12,2021,11
드가자,1,12,2021,4
00은 사람을 찢어,1,12,2021,3
수상한 정도로 00한 00,0,12,2021,4
악으로 깡으로 버텨라,0,12,2021,8
에어맨이 쓰러지지 않아,0,12,2021,12
이 아이가 배가 부르다는 느낌을 알까요?,0,12,2021,11
이대로 괜찮은가,0,12,2021,11
코이츠,0,12,2021,6
킹받네,1,12,2021,7
킹받는다,1,12,2021,4
한국인이 좋아하는 속도,0,12,2021,12
화성 갈끄니까,0,12,2021,8
아임뚜렛,0,12,2020,11
그랜절,1,12,2020,4
지이잉,1,12,2020,4
호박고구마,0,12,2020,7
할카스,0,12,2020,6
종로로 갈까요,0,12,2020,5
만희물,0,12,2020,2
ㄷㄷㄷㅈ,1,12,2020,3
나비보벳따우,1,12,2020,2
미안하다 이거 보여주려고 어그로끌었다,1,12,2020,1
관짝춤,0,12,2020,2
나는 개인이오,0,12,2020,12
깡,1,12,2020,3
펀쿨섹좌,0,12,2020,12
엄준식,1,12,2020,9
00은 사드세요 제발,1,12,2020,7
불 좀 꺼줄래?,1,12,2020,1
야 꿀벌,1,12,2020,9
군침이 싹 도노,1,12,2020,1
가짜사나이,1,12,2020,1
00를 알려주겠다,1,12,2020,5
뒷광고,1,12,2020,10
테스형!,0,12,2020,5
돌리랑 도트가 제일 좋아,0,12,2020,9
사실을 오래전부터 당신 같은 00를 기다려 왔다우,0,12,2020,7
제주도 찐 사투리,0,12,2020,11
다메다메,1,12,2020,10
훈발놈,0,12,2020,4
세뇌교육,0,12,2020,5
뭉탱이,1,12,2020,8
치즈분수,0,12,2020,2
한국인이 좋아하는 속도,0,12,2020,6
당연히 말이 되죠,0,12,2020,1
버스 안에서,0,12,2020,8
너 인성에 문제 있어?,1,12,2020,6
반으로 죽일 거야.,0,12,2020,11
니팀버려,1,12,2020,8
개인주의,1,12,2020,3
축제가 아니라 장례식입니다,0,12,2020,2
나비 효과,0,12,2020,5
화려한 조명이 나를 감싸네,0,12,2020,11
1일 00깡,1,12,2020,3
정치를 좀 대국적으로 하십시오,0,12,2020,1
임자 하고 싶은 대로 해,0,12,2020,3
내돈내산,1,12,2020,10
앞광고,0,12,2020,5
진짜 세계관 최강자들의 00이다.,0,12,2020,3
00 수준 실화냐?,1,12,2020,6
가슴이 웅장해진다,1,12,2020,8
살천지,0,12,2020,9
역병앓이,0,12,2020,10
나 이러면 진짜 섭섭해,0,12,2020,7
나 진짜 한마디만 할게요,0,12,2020,9
찜 쪄 먹기,0,12,2020,6
넣을게,1,12,2020,3
코스크,0,12,2020,7
턱스크,0,12,2020,1
확찐자,0,12,2020,5
흥캬삐,0,12,2020,5
죄송합니다,1,12,2020,2
케경호,0,12,2020,1
겜안분,0,12,2020,8
관상드립,0,12,2020,12
국룰,1,12,2020,7
그 긴거,1,12,2020,10
그댄 운명을 믿소?,0,12,2020,10
긁다,0,12,2020,6
금융치료,1,12,2020,7
너희들 나 못 이겨,0,12,2020,3
느슨해진 한국힙합에 긴장감을 주는 것 같다,0,12,2020,8
능지,1,12,2020,9
많관부,1,12,2020,8
맑은 눈의 광인,0,12,2020,10
머선 129,0,12,2020,10
머선 일이고,0,12,2020,3
몽미,0,12,2020,6
바선생,1,12,2020,12
범 내려온다,0,12,2020,1
사이버 렉카,0,12,2020,12
사회적 거리두기,0,12,2020,2
소설,0,12,2020,5
심기체론,0,12,2020,5
00이 복사가 된다고,1,12,2020,9
아무 노래나 일단 틀어,0,12,2020,5
알잘딱깔센,1,12,2020,9
야스,1,12,2020,2
워싱 칭따오,0,12,2020,3
이건 못 참지,1,12,2020,8
이제는 더 이상 물러날 곳이 없다,0,12,2020,1
임포스터,0,12,2020,3
잼민이,1,12,2020,3
정신나갈것같애,0,12,2020,11
치키치키차카차카초코초코초,0,12,2020,1
큰거온다,1,12,2020,3
테스형도 모른다고 하네요,0,12,2020,1
텐션,1,12,2020,6
해줘,1,12,2020,10
훠훠훠,0,12,2020,11
ㅋㅋ루삥뽕,0,12,2020,6
hoxy,1,12,2020,2
K-00,1,12,2020,5
00에 진심인 편,1,12,2020,3
00하하하,0,12,2020,5
치피치피 차파차파,0,12,2024,3
꽁꽁 얼어붙은 한강 위로 고양이가 걸어다닙니다,0,12,2024,8
탕후루는 차갑다,1,12,2024,6
국가권력급,1,12,2024,5
밥똥던,0,12,2024,10
한잔해,1,12,2024,5
캣냅,0,12,2024,9
브링방방,0,12,2024,8
00은 계획대로 되지 않아,0,12,2024,10
밤양갱,1,12,2024,9
원영적 사고,1,12,2024,7
야레야레 못말리는 아가씨,0,12,2024,4
포켓몬 댄스,0,12,2024,9
꽁꽁 얼어붙은 한강 위로,0,12,2024,5
난 대학시절 묵찌빠를 전공했단 사실,0,12,2024,1
어디출신?,0,12,2024,12
미시시피,0,12,2024,11
어라운드 더 월드,0,12,2024,11
좌뇌 우뇌 전두엽,0,12,2024,10
맞다이로 들어와,0,12,2024,8
럭키비키,1,12,2024,1
평화누리특별자치도,0,12,2024,1
직구 금지,0,12,2024,7
마라탕후루,1,12,2024,1
정상화,1,12,2024,9
팩트는 00라는 거임,0,12,2024,4
수수수수퍼노바,0,12,2024,11
츠긍슴승 승르흐르르,0,12,2024,10
시카노코노코노코코시탄탄,0,12,2024,6
티라미숙해,1,12,2024,5
티라미수 케익,1,12,2024,6
하루만 기다리면 00가 나와요!,0,12,2024,4
뉴진스럽다,0,12,2024,3
폴라레티,0,12,2024,8
신창섭,0,12,2024,3
네 기꺼이,0,12,2024,4
외모 췤!,0,12,2024,11
쿵쿵따,0,12,2024,6
미룬이,0,12,2024,6
조이는 보이,0,12,2024,6
창팝,0,12,2024,4
다 해줬잖아,0,12,2024,7
바로 리부트 정상화,0,12,2024,8
이해가쏙쏙되잖아리슝좍아,0,12,2024,7
유빈양,0,12,2024,6
퍽 아디다스,0,12,2024,12
개고기 미트볼,0,12,2024,4
두 수 앞,0,12,2024,4
제로 산소,0,12,2024,12
마루는 강쥐,0,12,2024,11
영역 전개,1,12,2024,4
그럼 죽어,0,12,2024,2
봇이지 뭐,0,12,2024,8
괜찮아 딩딩딩딩딩,0,12,2024,7
갈까말까,0,12,2024,2
도파민,1,12,2024,8
떳떳하면 가만히 있으면 된다,0,12,2024,7
억울한 남자,0,12,2024,6
개저씨,1,12,2024,9
즐거우시냐구요,0,12,2024,5
돈키호테 도플라밍고,0,12,2024,3
도황,1,12,2024,3
젤란아 와이파이 꺼라,0,12,2024,4
젠장 00 난 네가 좋다,0,12,2024,4
몽정규,0,12,2024,4
축구의 시대,0,12,2024,9
리 미제라블,0,12,2024,9
앱솔칼리버,0,12,2024,7
쌀숭이,0,12,2024,6
온 세상이 리선족,0,12,2024,6
00창섭,0,12,2024,9
대재학,0,12,2024,12
00선족,0,12,2024,10
메벤남,0,12,2024,4
메숭이,0,12,2024,11
이 또한 00의 은혜겠지요,0,12,2024,10
KC 인증 00,0,12,2024,6
00은 너무 어려워,0,12,2024,12
00핑,0,12,2024,12
T라 미숙해,0,12,2024,4
여우가 범의 허리를 끊었다,0,12,2024,9
험한 것이 나왔다,0,12,2024,7
머리를 내리쳐요,0,12,2024,11
생각만 해도 너무 즐거워요,0,12,2024,4
해병문학,0,12,2024,8
00속도로 달려왔습니다,1,12,2024,2
이븐,1,12,2024,1
채소의 익힘 정도,1,12,2024,6
보류 드리겠습니다.,1,12,2024,11
오늘 급식 메뉴는 뭔가요?,0,12,2024,12
고종원,0,12,2024,2
고죠 백토루,1,12,2024,5
이 음식은 00주자,0,12,2024,3
료이키 텐카이,0,12,2024,4
근데 이제 00을 곁들인,1,12,2024,11
"나야, 들기름",0,12,2024,1
나야 00,1,12,2024,7
물고기,0,12,2024,6
빠스잖아?,0,12,2024,2
조이보아씨 여기로 내려와봐유,0,12,2024,7
준비되었어유?,0,12,2024,8
우리 동네는 밤마다 울려 총성,0,12,2024,5
아파트 아파트 아파트 아파트,0,12,2024,3
공을 네모 안에 넣어,0,12,2024,6
너 기미지비자나,0,12,2024,9
도영아 니땀시 살어야,0,12,2024,1
도니살,0,12,2024,1
야구를 누가 즐겁게 봐요,0,12,2024,7
투마카세,0,12,2024,6
매그내릭,0,12,2024,10
이해가 되셨을까요?,0,12,2024,5
계몽령,0,12,2024,3
00이 되,0,12,2024,2
00하게 되,0,12,2024,3
각자도생,0,12,2024,3
긁,1,12,2024,7
김쁠뿡,0,12,2024,7
까탈레나 피크민,0,12,2024,2
나거한,0,12,2024,5
난 대학시절 000을 전공했단 사실,0,12,2024,7
뉴진스님,0,12,2024,4
러닝 크루,0,12,2024,1
로스트 미디어,0,12,2024,4
마인크래프트인데,0,12,2024,5
억까,1,12,2024,10
암파인 괜찮아,0,12,2024,6
앙딱정,0,12,2024,11
야흐야 사리 연설,0,12,2024,8
어제 내 세상이 무너졌어,0,12,2024,5
오야스미,1,12,2024,4
오카네카세구,0,12,2024,11
00게이,1,12,2024,2
이것뭐에요?,0,12,2024,9
이대로 괜찮은가,0,12,2024,9
이머전시,1,12,2024,1
자낳괴,1,12,2024,9
자중해,0,12,2024,9
짜치다,1,12,2024,10
천룡인,0,12,2024,1
크아악 롤랑,0,12,2024,7
테무산 00,0,12,2024,3
테토리스,0,12,2024,7
00바오,1,12,2024,2
