x,year,month,tw_use_m01,tw_use_m02,tw_use_m03,tw_use_m04,tw_use_m05,tw_use_m06,tw_use_m07,tw_use_m08,tw_use_m09,tw_use_m10,tw_use_m11,tw_use_m12,,label
난 오늘 네가 킹받으면 좋겠어,2026,0,0,0,0,0,0,,,,,,,,,0
힙합보단 사랑 사랑보단 돈,2026,1,1173,3529,2091,981,467,,,,,,,,,0
척추 척척추,2026,1,300,767,417,172,105,,,,,,,,,0
운동 많이 된다,2026,1,23574,19437,23770,15132,16399,,,,,,,,,1
고작 이런 00에 볼게 뭐가 있다고 쨍그랑,2026,1,2335,4706,3253,1351,776,,,,,,,,,0
윤정아 윤정아 왜요 쌤 왜요 쌤,2026,1,1384,3878,5255,9081,4169,,,,,,,,,1
But why?,2026,1,1028,968,1364,689,478,,,,,,,,,0
2026 Is The New 2016,2026,0,0,0,0,0,,,,,,,,,,0
완전히 멘탈이 나가버렸습니다,2026,2,7094,6303,1948,2658,,,,,,,,,,0
어디야 넌 어디야 집이야 난 택시야,2026,2,70,52,60,45,,,,,,,,,,0
그대 춤을 추는 나무 같아요,2026,2,285,254,139,64,,,,,,,,,,0
언발란스,2026,2,25805,39390,26806,15608,,,,,,,,,,1
쌰갈,2026,2,31292,27257,31489,36370,,,,,,,,,,1
원숭이 펀치,2026,2,1142,2142,1218,578,,,,,,,,,,0
설명할 시간이 없어,2026,2,29073,20770,36037,22793,,,,,,,,,,1
빨리 타,2026,2,27114,39608,36662,23367,,,,,,,,,,1
간바레,2026,3,152,229,139,,,,,,,,,,,0
붐샤카라카,2026,3,609,1926,1107,,,,,,,,,,,0
카와이 다케쟈 다메데스까,2026,3,133,50,40,,,,,,,,,,,0
귀엽기만 하면 안 되나요,2026,4,91,174,,,,,,,,,,,,0
00를 변기에 넣고서 내려,2026,4,268,298,,,,,,,,,,,,1
늑구,2026,4,1481,2283,,,,,,,,,,,,1
탱장연,2026,4,230,345,,,,,,,,,,,,0
모시모시 키코에떼루?,2026,5,48,,,,,,,,,,,,,0
얼마나 00하고 싶었던 건지 감도 안 옴,2026,1,12734,6512,2781,1517,522,,,,,,,,,0
영크크,2026,1,332,367,410,538,939,,,,,,,,,1
늙크크,2026,2,12914,7415,8386,4627,,,,,,,,,,1
할렐야루,2026,3,227,432,633,,,,,,,,,,,0
오늘 스트레스 많이 받을거야,2026,1,1271,1744,4752,6771,14121,,,,,,,,,1
"대한민국 유행 진짜 훅훅 바뀌는 듯, 두쫀쿠 유행 끝나니까 봄동비빔밥 유행함, 그럼 다음은 무조건 00이겠지",2026,3,93,107,100,,,,,,,,,,,0
흐에에!,2026,1,7808,3546,1306,590,379,,,,,,,,,0
샤갈,2026,1,31806,47020,14215,22091,14082,,,,,,,,,1
낋여왔어요,2026,2,11325,21948,34150,23558,,,,,,,,,,1
낉여왔어요,2026,2,23343,25457,25564,48212,,,,,,,,,,1
"여러분 저 됐어요, 00 됐어요!",2026,4,49487,18057,,,,,,,,,,,,1
뭔가 행복하지 않았지?,2026,4,26,20,,,,,,,,,,,,0
조림인간,2026,3,13258,26003,26799,,,,,,,,,,,1
을!,2026,4,40240,35114,,,,,,,,,,,,1
앙,2026,4,45794,40007,,,,,,,,,,,,1
"오만가지 소스, 끝!",2026,2,3370,2248,830,651,,,,,,,,,,0
빅변내,2026,3,20011,33752,75266,,,,,,,,,,,1
00을(를) 변기에 넣고서 내려,2026,5,20589,,,,,,,,,,,,,1
인생은 웍 웍 웍 웍 질,2026,4,2588,6368,,,,,,,,,,,,1
누가 너를 멋없다 말했는데 그게 너의 맘을 괴롭힐 때면 난 연기하지 않아,2026,1,305,163,73,32,11,,,,,,,,,0
동 훈 이 일 걸,2026,4,231,273,,,,,,,,,,,,1
그대 춤을 추는 나무 같아요,2026,2,90,79,78,62,,,,,,,,,,0
꺼드럭,2026,5,1412,,,,,,,,,,,,,1
꼭지 켜줄게,2026,3,251,305,776,,,,,,,,,,,0
나는 감정없는 싸이코라그런가 이런거보면 미동도안함. 오히려 웃음이나온달까?이정도는 껌이지ㅋ 나는 모자이크없는 고어영상들 수백수천개를 본 싸이코패슨데ㅋㅋ 그런영상을보면서 나는 웃음을 짓지 후훗,2026,3,1178,758,595,,,,,,,,,,,0
쉬었음 청년,2026,3,6350,8991,10228,,,,,,,,,,,1
아자스,2026,2,773,1446,1194,1081,,,,,,,,,,1
여기까지가 템플릿임,2026,4,11763,15461,,,,,,,,,,,,0
00하는 주파수,2026,3,13575,12015,29050,,,,,,,,,,,0
괜찮아 딩딩딩딩딩,2025,1,11327,39173,31708,17274,13022,13262,8816,5384,8528,6095,4486,5972,,1
Chill guy,2025,1,691,1160,2433,5015,10993,13105,11610,15401,12416,12332,10572,15836,,1
죠리퐁에서 왜 죠리퐁 냄새가나지,2025,2,91,150,42,58,19,16,9,5,4,8,6,0,,0
햄부기햄북 햄북스딱스 함부르크햄부가우가 햄비기햄부거 햄부가티 햄부기온앤 온 을 차려오거라,2025,2,1896,4053,2276,1674,811,520,122,349,53,22,7,8,,0
도파민,2025,2,8320,27850,15564,15690,7290,6821,5492,5037,5374,1623,2891,3624,,1
사람이 죽는다고,2025,3,324,445,682,637,265,209,184,105,79,127,30,137,,0
나니가스키,2025,3,316,190,157,300,836,1052,1119,1089,926,885,957,220,,1
트랄랄레로 트랄랄라,2025,3,2710,2795,2780,2143,680,413,456,224,118,97,61,51,,0
"와... 너 정말, **핵심을 찔렀어.**",2025,3,5978,3292,1217,669,270,237,72,65,28,24,11,14,,0
누가 범인일까?,2025,4,987,2084,1619,854,663,311,273,97,226,14,9,5,,0
첩 교체비는 안 아깝고 칩 교체비용은 아깝냐,2025,5,32,62,73,33,10,19,8,7,13,0,7,13,,0
회장 마누라 교체 비용으로 2조를 쓰면서,2025,5,72,124,141,97,87,77,121,75,210,78,57,55,,0
테크놀로지아,2025,5,22393,24450,32296,13699,12357,17184,45339,12537,16088,5985,4767,7284,,1
밤티,2025,5,62485,113783,42654,47412,33490,32545,52109,30074,19673,10116,14715,20456,,1
00미새,2025,10,30302,55937,25098,14906,11126,10132,22046,21482,,,,,,1
아미새,2025,6,307,441,398,356,168,127,282,99,210,29,171,62,,0
이건 00 레슨 00하기,2025,6,5674,9230,7357,5090,4042,3705,1895,1962,2078,1206,215,254,,1
쉐이칸샹 쉐이칸샹,2025,7,148,239,162,200,129,195,260,174,121,136,133,,,0
이거 AI 광고야.,2025,7,51,182,47,52,26,21,10,6,8,4,8,,,0
잔말말고 에어컨 파워냉방으로 틀어,2025,8,10,10,10,8,0,7,9,13,14,19,,,,0
내가 그걸 모를까,2025,8,7285,13411,9619,3285,3324,1199,202,91,52,31,,,,0
왜 안봐 왜 안봐 너 내 카톡 왜 안봐,2025,9,1041,692,491,189,232,97,64,48,141,,,,,0
도티낳음,2025,9,3800,5532,4759,10058,6237,3945,6020,3888,10801,,,,,1
케케크롱,2025,9,1048,2108,1415,684,444,196,173,191,62,,,,,0
이리와서.. 오목 한 판.. 두자꾸나..,2025,9,39,39,55,69,57,51,41,64,69,,,,,0
사실 너도 똑같더라고,2025,9,33,74,17,28,18,27,44,58,43,,,,,0
멋있어 멋있어 이찬오빠 멋있어,2025,9,100,226,162,30,22,20,11,6,0,,,,,0
