feature,importance
h12_freq_late_mean,9743.567074982677
h12_freq_last,64.19065270405359
h12_freq_min,38.02217246356698
h12_freq_first,3.1193420809393926
emb_129,3.1170129011144443
h12_freq_sum,2.245521607120526
h12_freq_median,1.0293465047778354
h12_freq_early_mean,0.8217240504164183
emb_043,0.7626895566261886
emb_006,0.5871979892253955
h12_peak_sharpness,0.4014587862529879
emb_079,0.3692277768597227
emb_198,0.3690256971538213
h12_freq_cv,0.3574421181908944
emb_154,0.3557309955358528
emb_175,0.34542812945294504
adjective_ratio,0.2932685860817619
h12_freq_late_to_early_ratio,0.27282864863844647
h12_freq_max,0.2706013973014935
emb_370,0.25472443263060995
emb_078,0.21498001939276373
emb_122,0.1997745039050154
emb_076,0.19849300384521884
emb_172,0.19527276212149047
emb_108,0.1887120008468628
emb_311,0.1878270060849501
h12_freq_gini,0.17839631318956872
emb_170,0.17185631513711996
emb_359,0.1707086462607692
emb_280,0.16843238384172193
emb_213,0.16633200657483388
emb_051,0.16216789931058884
emb_253,0.1615018073352985
emb_130,0.10781200230121613
emb_041,0.08975539738870837
emb_135,0.08191280066967012
emb_367,0.08175641422478275
emb_047,0.07598260045051797
pronunciation_simplicity_score,0.07231760025024414
h12_freq_last_to_max_ratio,0.07152540942138202
emb_324,0.0698039012039657
emb_264,0.0689720332302393
emb_295,0.038378501189959974
emb_214,0.03661419967615939
emb_309,0.035815103678408705
emb_033,0.034605298191398876
emb_332,0.034503698731523515
emb_285,0.027048299089074135
emb_025,0.018989799544215872
h12_post_peak_log_slope,0.017877932999841473
emb_099,0.002815925631911285
h12_freq_log_slope,0.002562680050525006
emb_056,0.00184445202467043
emb_123,0.0015477371743842193
emb_319,0.001274954562135111
h12_freq_first_to_last_diff,0.001237485485729071
hangul_ratio,0.0009639739873819053
emb_073,0.0008448070151621043
emb_352,0.0006967145241674189
emb_190,0.0006715480121807227
emb_110,0.0005942260031703839
emb_065,0.0005451918641483644
emb_117,0.0004887999972352963
emb_340,0.0004743570369330624
emb_341,0.00046444504828520474
emb_147,0.00041213610753489376
emb_275,0.0003817609976983771
h12_freq_autocorr_lag1,0.0003186109389126789
emb_166,0.0002567800641752969
emb_037,0.00021621299675445016
emb_366,0.00018647899895872868
emb_193,0.00018529700173708363
emb_029,0.00017590777826831586
emb_194,0.0001419056954290454
emb_092,0.00013915915177718525
emb_204,0.00011256777969361095
emb_197,0.00011142539733555168
emb_294,0.00010864999785579338
emb_342,8.8557999333716e-05
emb_146,8.578846782399119e-05
emb_032,8.370380251689762e-05
emb_206,8.344739762853638e-05
emb_138,7.469730190928172e-05
emb_067,6.992499933519952e-05
emb_111,5.561914557006796e-05
emb_383,4.6873616652121086e-05
emb_191,4.6126700908644125e-05
emb_297,3.5897788102090544e-05
emb_189,3.387828527021304e-05
emb_263,3.373881163204451e-05
h12_post_peak_decay_rate,3.163580163184733e-05
h12_freq_std,3.1632644193467285e-05
emb_018,2.8638897193177603e-05
emb_269,2.6532799893730363e-05
emb_066,2.58884263928807e-05
emb_353,2.5548299287740685e-05
emb_084,2.441891391808033e-05
emb_320,2.3959100872161798e-05
emb_308,2.2072799765737727e-05
emb_317,2.152449997086872e-05
emb_010,2.036779915215621e-05
emb_112,1.972111022304499e-05
emb_219,1.771772986308706e-05
emb_363,1.621679984978308e-05
emb_381,1.584689601935585e-05
emb_196,1.4729738325058861e-05
emb_167,1.4199599718267564e-05
emb_185,1.4145400202725259e-05
h12_freq_slope,1.3755739269278887e-05
emb_061,1.3737509745870291e-05
emb_325,1.3127170177540393e-05
emb_062,1.2851000064983964e-05
emb_075,1.1951099622820038e-05
emb_069,1.1901288003240973e-05
emb_290,1.0643659265951981e-05
emb_276,9.956058203988325e-06
emb_090,9.368500287848521e-06
emb_150,9.20278034794754e-06
emb_326,7.130886015484228e-06
emb_301,5.698342553003051e-06
emb_250,5.501432569850352e-06
emb_057,4.582399924455902e-06
emb_026,4.253911046429339e-06
emb_089,3.320800033459852e-06
h12_freq_first_to_last_ratio,3.3034831672671197e-06
emb_288,3.17145163311616e-06
emb_382,3.093859959932277e-06
h12_post_peak_slope,1.9739933102787024e-06
emb_049,1.972935927179493e-06
emb_262,1.4373259717133462e-06
emb_267,1.209221405173986e-06
h12_freq_entropy,1.0623476997053966e-06
emb_281,5.693271485964825e-07
emb_200,5.656721933318723e-07
emb_053,5.214439939907338e-07
emb_339,4.846904490154903e-07
emb_210,4.780913860596808e-07
emb_153,2.2585041257582733e-07
hangul_char_count,2.2388600484646304e-07
emb_044,2.2160099896750826e-07
emb_125,2.1477715694828703e-07
emb_081,1.5384410056995937e-07
emb_139,1.3631290586568756e-07
h12_freq_burstiness,1.3003686927248737e-07
emb_161,1.1489200346659345e-07
emb_095,9.75225020738435e-08
emb_258,8.151030073122456e-08
emb_107,5.504088063101875e-08
emb_236,4.8594103962962265e-08
emb_176,4.756629934377088e-08
emb_300,4.674433928800422e-08
emb_211,4.286810018072629e-08
emb_293,4.2633200081354516e-08
emb_230,4.2563902181904506e-08
emb_180,4.0136436799497726e-08
emb_063,3.6655187525782914e-08
emb_035,3.5021992875190246e-08
emb_358,3.128188647005814e-08
emb_158,2.8298242357868483e-08
char_len,2.219682038173687e-08
emb_228,2.1889899670668456e-08
emb_000,2.1285928865850598e-08
morph_count,2.0154240054637285e-08
emb_286,1.99160925399079e-08
emb_016,1.8209102457639183e-08
emb_128,1.621990009101001e-08
emb_119,1.5753499661014238e-08
emb_013,1.545610756049786e-08
emb_261,1.3691422061194566e-08
emb_179,8.243939794705427e-09
emb_271,8.119810046436512e-09
emb_120,7.439671182060024e-09
emb_244,6.7366522629385956e-09
emb_283,6.349168420183293e-09
avg_syllable_per_token,6.113449968481177e-09
h12_peak_count,5.665440117041953e-09
emb_260,3.940605008967424e-09
emb_365,3.87681105837786e-09
emb_159,3.4742142901698276e-09
emb_188,3.1766499430929684e-09
emb_232,3.1042683978801135e-09
emb_284,2.889760680746163e-09
emb_266,2.5222522959127752e-09
adjective_count,2.2738969283897514e-09
emb_174,1.868000166442332e-09
emb_344,1.73405215967128e-09
emb_316,1.4328700448373866e-09
emb_116,1.4318456420527237e-09
emb_152,1.3830899758815463e-09
emb_241,1.128642651556227e-09
emb_143,1.0071836229613726e-09
emb_256,7.576236834052085e-10
emb_330,5.1945527046735e-10
emb_318,4.286862670404336e-10
emb_005,3.923709335428434e-10
emb_126,3.7586657367799127e-10
emb_133,2.403960086549972e-10
noun_count,2.397185019931136e-10
emb_371,1.8599780049477488e-10
