feature,importance_mean,importance_std
h12_freq_late_mean,0.2120865659452838,0.023651574977156607
emb_333,0.0,0.0
emb_332,0.0,0.0
emb_331,0.0,0.0
emb_330,0.0,0.0
emb_329,0.0,0.0
emb_328,0.0,0.0
emb_327,0.0,0.0
emb_326,0.0,0.0
emb_325,0.0,0.0
emb_324,0.0,0.0
emb_323,0.0,0.0
emb_322,0.0,0.0
emb_321,0.0,0.0
emb_304,0.0,0.0
emb_319,0.0,0.0
emb_318,0.0,0.0
emb_317,0.0,0.0
emb_316,0.0,0.0
emb_315,0.0,0.0
emb_314,0.0,0.0
emb_313,0.0,0.0
emb_312,0.0,0.0
emb_311,0.0,0.0
emb_310,0.0,0.0
emb_309,0.0,0.0
emb_308,0.0,0.0
emb_307,0.0,0.0
emb_306,0.0,0.0
emb_305,0.0,0.0
emb_320,0.0,0.0
emb_363,0.0,0.0
emb_362,0.0,0.0
emb_361,0.0,0.0
emb_360,0.0,0.0
emb_359,0.0,0.0
emb_358,0.0,0.0
emb_357,0.0,0.0
emb_356,0.0,0.0
emb_355,0.0,0.0
emb_354,0.0,0.0
emb_353,0.0,0.0
emb_352,0.0,0.0
emb_351,0.0,0.0
emb_350,0.0,0.0
emb_334,0.0,0.0
emb_348,0.0,0.0
emb_347,0.0,0.0
emb_346,0.0,0.0
emb_345,0.0,0.0
emb_344,0.0,0.0
emb_343,0.0,0.0
emb_342,0.0,0.0
emb_341,0.0,0.0
emb_340,0.0,0.0
emb_339,0.0,0.0
emb_338,0.0,0.0
emb_337,0.0,0.0
emb_336,0.0,0.0
emb_335,0.0,0.0
emb_349,0.0,0.0
emb_272,0.0,0.0
emb_271,0.0,0.0
emb_270,0.0,0.0
emb_269,0.0,0.0
emb_268,0.0,0.0
emb_267,0.0,0.0
emb_266,0.0,0.0
emb_265,0.0,0.0
emb_264,0.0,0.0
emb_263,0.0,0.0
emb_262,0.0,0.0
emb_261,0.0,0.0
emb_260,0.0,0.0
emb_259,0.0,0.0
emb_303,0.0,0.0
emb_257,0.0,0.0
emb_256,0.0,0.0
emb_255,0.0,0.0
emb_254,0.0,0.0
emb_253,0.0,0.0
emb_252,0.0,0.0
emb_251,0.0,0.0
emb_250,0.0,0.0
emb_249,0.0,0.0
emb_248,0.0,0.0
emb_247,0.0,0.0
emb_246,0.0,0.0
emb_245,0.0,0.0
emb_244,0.0,0.0
emb_258,0.0,0.0
emb_364,0.0,0.0
emb_302,0.0,0.0
emb_301,0.0,0.0
emb_300,0.0,0.0
emb_299,0.0,0.0
emb_298,0.0,0.0
emb_297,0.0,0.0
emb_296,0.0,0.0
emb_295,0.0,0.0
emb_294,0.0,0.0
emb_293,0.0,0.0
emb_292,0.0,0.0
emb_291,0.0,0.0
emb_290,0.0,0.0
emb_273,0.0,0.0
emb_288,0.0,0.0
emb_287,0.0,0.0
emb_286,0.0,0.0
emb_285,0.0,0.0
emb_284,0.0,0.0
emb_283,0.0,0.0
emb_282,0.0,0.0
emb_281,0.0,0.0
emb_280,0.0,0.0
emb_279,0.0,0.0
emb_278,0.0,0.0
emb_277,0.0,0.0
emb_276,0.0,0.0
emb_275,0.0,0.0
emb_274,0.0,0.0
emb_289,0.0,0.0
h12_freq_max,0.0,0.0
h12_freq_min,0.0,0.0
h12_freq_std,0.0,0.0
h12_freq_median,0.0,0.0
h12_freq_mean,0.0,0.0
h12_freq_sum,0.0,0.0
pronunciation_simplicity_score,0.0,0.0
rhythm_score,0.0,0.0
no_final_consonant_ratio,0.0,0.0
final_consonant_ratio,0.0,0.0
vowel_repeat_score,0.0,0.0
initial_consonant_repeat_score,0.0,0.0
max_same_syllable_repeat_len,0.0,0.0
same_syllable_repeat_count,0.0,0.0
emb_365,0.0,0.0
syllable_count,0.0,0.0
has_quote_like_pattern,0.0,0.0
has_meme_template_pattern,0.0,0.0
has_initialism_pattern,0.0,0.0
has_abbreviation_pattern,0.0,0.0
is_command_like,0.0,0.0
is_exclamation_like,0.0,0.0
is_question_like,0.0,0.0
is_sentence_like,0.0,0.0
is_phrase_like,0.0,0.0
is_word_like,0.0,0.0
eomi_ratio,0.0,0.0
eomi_count,0.0,0.0
josa_ratio,0.0,0.0
avg_syllable_per_token,0.0,0.0
emb_021,0.0,0.0
emb_020,0.0,0.0
emb_019,0.0,0.0
emb_018,0.0,0.0
emb_017,0.0,0.0
emb_016,0.0,0.0
emb_015,0.0,0.0
emb_014,0.0,0.0
emb_013,0.0,0.0
emb_012,0.0,0.0
emb_011,0.0,0.0
emb_010,0.0,0.0
emb_009,0.0,0.0
emb_008,0.0,0.0
emb_004,0.0,0.0
h12_freq_first,0.0,0.0
h12_freq_burstiness,0.0,0.0
h12_freq_cv,0.0,0.0
h12_freq_gini,0.0,0.0
h12_freq_entropy,0.0,0.0
h12_has_revival,0.0,0.0
h12_revival_count,0.0,0.0
h12_late_activity_ratio,0.0,0.0
h12_retention_ratio,0.0,0.0
h12_current_active_streak,0.0,0.0
h12_longest_active_streak,0.0,0.0
h12_peak_count,0.0,0.0
h12_peak_sharpness,0.0,0.0
h12_post_peak_decay_rate,0.0,0.0
h12_post_peak_log_slope,0.0,0.0
emb_006,0.0,0.0
digit_ratio,0.0,0.0
english_ratio,0.0,0.0
hangul_ratio,0.0,0.0
special_char_count,0.0,0.0
digit_char_count,0.0,0.0
english_char_count,0.0,0.0
hangul_char_count,0.0,0.0
avg_token_len,0.0,0.0
token_count_space,0.0,0.0
char_len,0.0,0.0
emb_383,0.0,0.0
emb_382,0.0,0.0
emb_381,0.0,0.0
emb_380,0.0,0.0
josa_count,0.0,0.0
emb_378,0.0,0.0
emb_377,0.0,0.0
emb_376,0.0,0.0
emb_375,0.0,0.0
emb_374,0.0,0.0
emb_373,0.0,0.0
emb_372,0.0,0.0
emb_371,0.0,0.0
emb_370,0.0,0.0
emb_369,0.0,0.0
emb_368,0.0,0.0
emb_367,0.0,0.0
emb_366,0.0,0.0
h12_post_peak_slope,0.0,0.0
emb_379,0.0,0.0
interjection_ratio,0.0,0.0
interjection_count,0.0,0.0
adverb_ratio,0.0,0.0
adverb_count,0.0,0.0
adjective_ratio,0.0,0.0
adjective_count,0.0,0.0
verb_ratio,0.0,0.0
verb_count,0.0,0.0
noun_ratio,0.0,0.0
noun_count,0.0,0.0
pos_type_count,0.0,0.0
unique_morph_count,0.0,0.0
morph_count,0.0,0.0
repeated_char_count,0.0,0.0
special_ratio,0.0,0.0
has_repeated_char,0.0,0.0
count_hh,0.0,0.0
count_kk,0.0,0.0
has_laughter_hh,0.0,0.0
has_laughter_kk,0.0,0.0
chosung_count,0.0,0.0
has_chosung,0.0,0.0
has_ellipsis,0.0,0.0
has_tilde,0.0,0.0
has_exclamation_mark,0.0,0.0
has_question_mark,0.0,0.0
is_kor_eng_mixed,0.0,0.0
has_digit,0.0,0.0
has_english,0.0,0.0
has_hangul,0.0,0.0
max_repeated_char_len,0.0,0.0
emb_090,0.0,0.0
emb_089,0.0,0.0
emb_088,0.0,0.0
emb_087,0.0,0.0
emb_086,0.0,0.0
emb_085,0.0,0.0
emb_084,0.0,0.0
emb_083,0.0,0.0
emb_082,0.0,0.0
emb_081,0.0,0.0
emb_080,0.0,0.0
emb_079,0.0,0.0
emb_078,0.0,0.0
emb_077,0.0,0.0
emb_243,0.0,0.0
emb_075,0.0,0.0
emb_074,0.0,0.0
emb_073,0.0,0.0
emb_072,0.0,0.0
emb_071,0.0,0.0
emb_070,0.0,0.0
emb_069,0.0,0.0
emb_068,0.0,0.0
emb_067,0.0,0.0
emb_066,0.0,0.0
emb_065,0.0,0.0
emb_064,0.0,0.0
emb_063,0.0,0.0
emb_062,0.0,0.0
emb_076,0.0,0.0
emb_120,0.0,0.0
emb_119,0.0,0.0
emb_118,0.0,0.0
emb_117,0.0,0.0
emb_116,0.0,0.0
emb_115,0.0,0.0
emb_114,0.0,0.0
emb_113,0.0,0.0
emb_112,0.0,0.0
emb_111,0.0,0.0
emb_110,0.0,0.0
emb_109,0.0,0.0
emb_108,0.0,0.0
emb_107,0.0,0.0
emb_091,0.0,0.0
emb_105,0.0,0.0
emb_104,0.0,0.0
emb_103,0.0,0.0
emb_102,0.0,0.0
emb_101,0.0,0.0
emb_100,0.0,0.0
emb_099,0.0,0.0
emb_098,0.0,0.0
emb_097,0.0,0.0
emb_096,0.0,0.0
emb_095,0.0,0.0
emb_094,0.0,0.0
emb_093,0.0,0.0
emb_092,0.0,0.0
emb_106,0.0,0.0
emb_029,0.0,0.0
emb_028,0.0,0.0
emb_027,0.0,0.0
emb_026,0.0,0.0
emb_025,0.0,0.0
emb_024,0.0,0.0
emb_023,0.0,0.0
emb_005,0.0,0.0
h12_peak_month,0.0,0.0
h12_peak_value,0.0,0.0
h12_freq_late_to_early_ratio,0.0,0.0
h12_freq_early_mean,0.0,0.0
h12_freq_last_to_max_ratio,0.0,0.0
h12_freq_first_to_last_ratio,0.0,0.0
emb_061,0.0,0.0
h12_freq_log_slope,0.0,0.0
h12_freq_slope,0.0,0.0
h12_nonzero_month_count,0.0,0.0
h12_zero_month_count,0.0,0.0
h12_active_month_count,0.0,0.0
h12_freq_last,0.0,0.0
emb_022,0.0,0.0
emb_003,0.0,0.0
emb_002,0.0,0.0
emb_001,0.0,0.0
emb_000,0.0,0.0
h12_freq_autocorr_lag1,0.0,0.0
emb_007,0.0,0.0
h12_time_to_peak,0.0,0.0
h12_freq_first_to_last_diff,0.0,0.0
emb_060,0.0,0.0
emb_059,0.0,0.0
emb_058,0.0,0.0
emb_057,0.0,0.0
emb_056,0.0,0.0
emb_055,0.0,0.0
emb_054,0.0,0.0
emb_053,0.0,0.0
emb_052,0.0,0.0
emb_051,0.0,0.0
emb_050,0.0,0.0
emb_049,0.0,0.0
emb_048,0.0,0.0
emb_047,0.0,0.0
emb_030,0.0,0.0
emb_045,0.0,0.0
emb_044,0.0,0.0
emb_043,0.0,0.0
emb_042,0.0,0.0
emb_041,0.0,0.0
emb_040,0.0,0.0
emb_039,0.0,0.0
emb_038,0.0,0.0
emb_037,0.0,0.0
emb_036,0.0,0.0
emb_035,0.0,0.0
emb_034,0.0,0.0
emb_033,0.0,0.0
emb_032,0.0,0.0
emb_031,0.0,0.0
emb_046,0.0,0.0
emb_211,0.0,0.0
emb_210,0.0,0.0
emb_209,0.0,0.0
emb_208,0.0,0.0
emb_207,0.0,0.0
emb_206,0.0,0.0
emb_205,0.0,0.0
emb_204,0.0,0.0
emb_203,0.0,0.0
emb_202,0.0,0.0
emb_201,0.0,0.0
emb_200,0.0,0.0
emb_199,0.0,0.0
emb_198,0.0,0.0
emb_121,0.0,0.0
emb_196,0.0,0.0
emb_195,0.0,0.0
emb_194,0.0,0.0
emb_193,0.0,0.0
emb_192,0.0,0.0
emb_191,0.0,0.0
emb_190,0.0,0.0
emb_189,0.0,0.0
emb_188,0.0,0.0
emb_187,0.0,0.0
emb_186,0.0,0.0
emb_185,0.0,0.0
emb_184,0.0,0.0
emb_183,0.0,0.0
emb_197,0.0,0.0
emb_242,0.0,0.0
emb_241,0.0,0.0
emb_240,0.0,0.0
emb_239,0.0,0.0
emb_238,0.0,0.0
emb_237,0.0,0.0
emb_236,0.0,0.0
emb_235,0.0,0.0
emb_234,0.0,0.0
emb_233,0.0,0.0
emb_232,0.0,0.0
emb_231,0.0,0.0
emb_230,0.0,0.0
emb_229,0.0,0.0
emb_212,0.0,0.0
emb_227,0.0,0.0
emb_226,0.0,0.0
emb_225,0.0,0.0
emb_224,0.0,0.0
emb_223,0.0,0.0
emb_222,0.0,0.0
emb_221,0.0,0.0
emb_220,0.0,0.0
emb_219,0.0,0.0
emb_218,0.0,0.0
emb_217,0.0,0.0
emb_216,0.0,0.0
emb_215,0.0,0.0
emb_214,0.0,0.0
emb_213,0.0,0.0
emb_228,0.0,0.0
emb_150,0.0,0.0
