feature,shap_importance
h12_freq_late_mean,8.198580711717844
h12_freq_min,1.6203997495043139
h12_freq_last,1.0990214343806306
emb_129,0.057054419349325716
h12_freq_sum,0.04817675730871592
hangul_ratio,0.04802747660774108
emb_175,0.02292706699914374
h12_freq_first,0.02140276036461436
emb_117,0.01674275320266905
emb_352,0.01665003468158782
emb_319,0.01592649354561742
h12_freq_median,0.012131386000077597
emb_043,0.011878813262396067
h12_peak_sharpness,0.010741641724654626
emb_253,0.009636723305923628
h12_freq_early_mean,0.009088623871013961
emb_079,0.008106329117758498
emb_146,0.007161154155286974
emb_367,0.0070507609546399536
h12_freq_cv,0.006649596282544994
emb_198,0.005171040498952514
h12_freq_autocorr_lag1,0.004706012613940024
emb_275,0.004633422063313025
emb_056,0.004598287652291804
h12_freq_gini,0.004428777822104944
emb_340,0.004395533006804961
emb_110,0.004365802936950236
emb_006,0.00428037426811032
emb_213,0.00417721943296002
emb_190,0.0037635067781643067
h12_post_peak_log_slope,0.0031205515568077237
emb_032,0.0027096513855209845
emb_154,0.00270876394957408
emb_037,0.0026163847724822325
emb_295,0.00258601265459431
emb_073,0.0024642800426785062
emb_033,0.0023850348207582078
emb_309,0.0022526986636241665
emb_076,0.0020356531077399052
emb_332,0.0020338325221872324
h12_freq_max,0.0020062605935315943
emb_214,0.0019325129773533
emb_025,0.001782552590266826
emb_285,0.0017610881101493734
h12_freq_late_to_early_ratio,0.001754806381561555
adjective_ratio,0.0015449958231514337
emb_078,0.0013785736366468803
emb_172,0.0012966795277598033
emb_108,0.0011486713333737112
emb_370,0.001058347546526637
emb_280,0.000977155875676727
emb_311,0.0009155379758908011
emb_051,0.00081753448869735
emb_122,0.0008105899245457012
emb_123,0.000734247517626398
emb_359,0.0007153086222755347
h12_freq_log_slope,0.0005949724105715357
emb_170,0.0005351031783847245
emb_130,0.0005104748919174042
h12_freq_first_to_last_diff,0.000497358883121383
h12_freq_last_to_max_ratio,0.00047101035721173524
emb_099,0.00045502559582384357
emb_135,0.00038860582768103724
pronunciation_simplicity_score,0.0003530686593529753
h12_freq_std,0.000343012813513705
emb_047,0.00034216007432576233
emb_324,0.00027360527202718263
emb_041,0.0002576272406373121
emb_264,0.0002556221627379466
h12_freq_slope,0.00013465593234813792
emb_065,0.00012389898329956788
emb_147,9.63678078092411e-05
h12_post_peak_decay_rate,6.938425561283602e-05
emb_029,6.937797936590907e-05
emb_341,6.146181981918345e-05
emb_092,4.769904706008732e-05
emb_166,4.700754776021069e-05
h12_freq_entropy,3.4399076785666245e-05
h12_freq_first_to_last_ratio,3.43661468484096e-05
emb_194,3.052092015393352e-05
emb_366,3.007639476242032e-05
emb_297,2.9741508576362026e-05
emb_204,2.4276755933536697e-05
emb_308,2.3609648096048064e-05
emb_250,2.3103832413619156e-05
emb_325,2.102482027295728e-05
emb_382,2.0505375912789894e-05
emb_363,2.043215114024052e-05
h12_post_peak_slope,1.7786321617920388e-05
emb_317,1.7357990514517968e-05
emb_193,1.3997109358849465e-05
emb_342,1.2523813791305377e-05
emb_111,1.2283225283598862e-05
emb_288,1.1272841161862759e-05
emb_049,1.0748643008591064e-05
emb_026,1.0472568698216996e-05
emb_197,1.0280752676169888e-05
emb_381,1.0194155571993468e-05
